Description,List_Price,Model,Milleage,Gear_Type,Location,Price,Mileage,Year,State,Brand,Origin,Engine_L
2013/2014 BMW 528i 2.0 Sedan - M Sport service record F10 full spec,"RM 87,888",BMW 528i,145 - 150K KM,Automatic,"Selangor, Puchong",87888.0,147500.0,2013.0,Selangor,BMW,Continental,2.0
2017 Honda Civic 1.8 S i-VTEC Sedan - (A) NO PROCESSING CHARGE,"RM 70,800",Honda Civic,100 - 105K KM,Automatic,"Kuala Lumpur, Cheras",70800.0,102500.0,2017.0,Kuala Lumpur,Honda,Asian,1.8
2012 BMW 328i 2.0 Luxury Line Sedan - Luxury (A) ONE YEAR WARRANTY,"RM 45,800",BMW 328i,135 - 140K KM,Automatic,"Kuala Lumpur, Cheras",45800.0,137500.0,2012.0,Kuala Lumpur,BMW,Continental,2.0
2014 Toyota Corolla Altis 2.0 V Sedan - (A) NO PROCESSING CHARGE,"RM 49,800",Toyota Corolla Altis,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras",49800.0,122500.0,2014.0,Kuala Lumpur,Toyota,Asian,2.0
2013 Honda Accord 2.4 i-VTEC VTi-L Sedan - VTi-L FACELIFT (A) NO PROCESSING CHARGE,"RM 45,800",Honda Accord,120 - 125K KM,Automatic,"Kuala Lumpur, Cheras",45800.0,122500.0,2013.0,Kuala Lumpur,Honda,Asian,2.4
"2013 BMW 520i 2.0 Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 62,800",BMW 520i,135 - 140K KM,Automatic,"Penang, Bukit Mertajam",62800.0,137500.0,2013.0,Penang,BMW,Continental,2.0
"2016 BMW 520i 2.0 M Sport Sedan - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 119,800",BMW 520i,60 - 65K KM,Automatic,"Penang, Bukit Mertajam",119800.0,62500.0,2016.0,Penang,BMW,Continental,2.0
"2018 Toyota Harrier 2.0 Premium SUV - (A) 1 YEAR WARRANTY, SELECTION","RM 149,800",Toyota Harrier,105 - 110K KM,Automatic,"Penang, Bukit Mertajam",149800.0,107500.0,2018.0,Penang,Toyota,Asian,2.0
"2017 BMW X1 2.0 sDrive20i Sport Line SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 87,800",BMW X1,120 - 125K KM,Automatic,"Penang, Bukit Mertajam",87800.0,122500.0,2017.0,Penang,BMW,Continental,2.0
"2019 BMW X4 2.0 xDrive30i M Sport SUV - (A) 1 YEAR WARRANTY, PREMIUM SELECTION","RM 245,800",BMW X4,70 - 75K KM,Automatic,"Penang, Bukit Mertajam",245800.0,72500.0,2019.0,Penang,BMW,Continental,2.0
2015 Honda HR-V 1.8 i-VTEC V SUV - (A) 1 YEAR WARRANTY,"RM 54,500",Honda HR-V,105 - 110K KM,Automatic,"Penang, Greenlane",54500.0,107500.0,2015.0,Penang,Honda,Asian,1.8
2017/2020 Toyota Vellfire 2.5 Z MPV - (A) 2 POWER DOOR 7 SEATER 1 YEAR WARRANTY,"RM 155,800",Toyota Vellfire,45 - 50K KM,Automatic,"Selangor, Klang",155800.0,47500.0,2017.0,Selangor,Toyota,Asian,2.5
2016/2021 Toyota Alphard 2.5 G S MPV - AGH30 POWER DOOR POWER BOOT 1 YEAR WARRANTY,"RM 155,800",Toyota Alphard,45 - 50K KM,Automatic,"Selangor, Klang",155800.0,47500.0,2016.0,Selangor,Toyota,Asian,2.5
2016 Perodua Myvi 1.3 X Hatchback - (A) 1 YEAR WARRANTY,"RM 28,000",Perodua Myvi,100 - 105K KM,Automatic,"Penang, Ayer Itam",28000.0,102500.0,2016.0,Penang,Perodua,Asian,1.3
2015 Honda CR-V 2.4 i-VTEC SUV - FREE WARRANTY,"RM 59,999",Honda CR-V,60 - 65K KM,Automatic,"Johor, Skudai",59999.0,62500.0,2015.0,Johor,Honda,Asian,2.4
2016 Honda CR-V 2.0 i-VTEC SUV - (A) 1 YEAR WARRANTY,"RM 69,800",Honda CR-V,90 - 95K KM,Automatic,"Penang, Ayer Itam",69800.0,92500.0,2016.0,Penang,Honda,Asian,2.0
2017 Honda City 1.5 Hybrid Sedan - EASY LOAN,"RM 45,999",Honda City,60 - 65K KM,Automatic,"Johor, Skudai",45999.0,62500.0,2017.0,Johor,Honda,Asian,1.5
2015 Honda City 1.5 V i-VTEC Sedan - (A) 1 YEAR WARRANTY,"RM 44,800",Honda City,70 - 75K KM,Automatic,"Penang, Ayer Itam",44800.0,72500.0,2015.0,Penang,Honda,Asian,1.5
2016 Toyota Harrier 2.0 Premium Advanced SUV - JBL LINE ASIST PRE-CRASH 360 PREMIUM WARRANTY,"RM 96,888",Toyota Harrier,70 - 75K KM,Automatic,"Kuala Lumpur, Cheras",96888.0,72500.0,2016.0,Kuala Lumpur,Toyota,Asian,2.0
2012 BMW 328i 2.0 Sport Line Sedan - FULL SERVICE RECORD BY,"RM 58,500",BMW 328i,115 - 120K KM,Automatic,"Selangor, Puchong",58500.0,117500.0,2012.0,Selangor,BMW,Continental,2.0
2015 Volvo XC60 2.0 T6 SUV - Full Service By Accident Free Flood Free,"RM 76,800",Volvo XC60,90 - 95K KM,Automatic,"Selangor, Puchong",76800.0,92500.0,2015.0,Selangor,Volvo,Continental,2.0
2014 Mercedes-Benz S400L 3.5 Hybrid Sedan - ONE VIP Owner Beautiful Condition,"RM 99,900",Mercedes-Benz S400L,85 - 90K KM,Automatic,"Selangor, Puchong",99900.0,87500.0,2014.0,Selangor,Mercedes-Benz,Continental,3.5
2014 Toyota Alphard 3.5 G MPV - (CNY SALES) (Pilot Seat)(Power Door)(Sunroof)( Cheapest in town ) (Carking condition) (sales) (offer),"RM 105,800",Toyota Alphard,95 - 100K KM,Automatic,"Johor, Johor Bahru",105800.0,97500.0,2014.0,Johor,Toyota,Asian,3.5
2019 Volvo XC40 2.0 T5 R-Design SUV - Service Record,"RM 131,900",Volvo XC40,80 - 85K KM,Automatic,"Selangor, Seri Kembangan",131900.0,82500.0,2019.0,Selangor,Volvo,Continental,2.0
2015 Honda HR-V 1.8 i-VTEC V SUV - V SPEC(A)NO PROCESSING CHARGE,"RM 49,800",Honda HR-V,75 - 80K KM,Automatic,"Kuala Lumpur, Cheras",49800.0,77500.0,2015.0,Kuala Lumpur,Honda,Asian,1.8
2018 Mazda CX-5 2.5 SKYACTIV-G GLS SUV - GLS(A)NO PROCESSING CHARGE,"RM 93,800",Mazda CX-5,90 - 95K KM,Automatic,"Kuala Lumpur, Cheras",93800.0,92500.0,2018.0,Kuala Lumpur,Mazda,Asian,2.5
2016/2018 BMW X1 2.0 sDrive20i SUV - (A)NO PROCESSING CHARGE,"RM 77,800",BMW X1,45 - 50K KM,Automatic,"Kuala Lumpur, Cheras",77800.0,47500.0,2016.0,Kuala Lumpur,BMW,Continental,2.0
2016 Ford Ranger 2.2 XL High Rider Dual Cab Pickup Truck - XLT 4X4(M)NO PROCESSING CHARGE,"RM 55,800",Ford Ranger,100 - 105K KM,Manual,"Kuala Lumpur, Cheras",55800.0,102500.0,2016.0,Kuala Lumpur,Ford,Continental,2.2
"2017/2020 Toyota Alphard 2.5 G SA MPV - MODELLISTA BODYKITS AGH 30 TYPE BLACK EDITION S A SEMI LEATHER , POWER BOOT, PRE CRASH, RAYA SALE","RM 181,999",Toyota Alphard,85 - 90K KM,Automatic,"Selangor, Puchong",181999.0,87500.0,2017.0,Selangor,Toyota,Asian,2.5
"2020/2022 Toyota Alphard 2.5 G S C Package MPV - 3BA SUNROOF POWER BOOT, PILOT SEAT ORIGINAL MODELLISTA, KING CONDITION RAYA OFFER","RM 242,999",Toyota Alphard,40 - 45K KM,Automatic,"Selangor, Puchong",242999.0,42500.0,2020.0,Selangor,Toyota,Asian,2.5
2018 Nissan X-Trail 2.0 SUV - CVT (A) 360 Camera 3 YEAR WARRANTY,"RM 47,800",Nissan X-Trail,65 - 70K KM,Automatic,"Selangor, Kajang",47800.0,67500.0,2018.0,Selangor,Nissan,Asian,2.0
2020 Toyota Harrier 2.0 Premium SUV - Z Leather,"RM 208,000",Toyota Harrier,20 - 25K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",208000.0,22500.0,2020.0,Kuala Lumpur,Toyota,Asian,2.0
2021 Toyota Harrier 2.0 SUV - Z - Full Leather Full Spec Perfect Condition,"RM 213,000",Toyota Harrier,25 - 30K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",213000.0,27500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.0
2019 Toyota Vellfire 3.5 VL MPV - Full Spec New Car Condition Nego Till Let Go,"RM 308,000",Toyota Vellfire,15 - 20K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",308000.0,17500.0,2019.0,Kuala Lumpur,Toyota,Asian,3.5
2021 Toyota Vellfire 3.5 Z Modellista G Edition MPV - ZAG 2K KM 5-A Perfect Condition,"RM 318,000",Toyota Vellfire,0 - 5K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",318000.0,2500.0,2021.0,Kuala Lumpur,Toyota,Asian,3.5
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified,"RM 283,000",Toyota Alphard,20 - 25K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",283000.0,22500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.5
2022 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified G S C,"RM 293,000",Toyota Alphard,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",293000.0,12500.0,2022.0,Kuala Lumpur,Toyota,Asian,2.5
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified,"RM 298,000",Toyota Alphard,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",298000.0,12500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.5
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified G S C,"RM 283,000",Toyota Alphard,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",283000.0,12500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.5
2021 Toyota Alphard 2.5 G S C Package MPV - Carlist Qualified G S C,"RM 283,000",Toyota Alphard,5 - 10K KM,Automatic,"Kuala Lumpur, Chan Sow Lin",283000.0,7500.0,2021.0,Kuala Lumpur,Toyota,Asian,2.5
