Description,Monthly_Installment,List_Price,Model,Mileage,Gear_Type,Location
2021 Toyota Hilux 2.4 E Dual Cab Pickup - UNDER WARRANTY UNTIL 03 2026,RM 983 / month,"RM 75,800",Toyota Hilux,115 - 120K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2019 Toyota Vios 1.5 G Sedan - (A) FACELIFT NSP151 FULL SPEC FULL BODYKIT 360 3D R CAMERA DASH CAM FULL LEATHER PUSHSTART KEY LES,RM 607 / month,"RM 46,800",Toyota Vios,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2013 Nissan Almera 1.5 E Sedan - impul,RM 231 / month,"RM 17,790",Nissan Almera,155 - 160K KM,Automatic,"Selangor, Banting"
2017 Perodua Myvi 1.5 AV Hatchback - Adv,RM 425 / month,"RM 32,800",Perodua Myvi,90 - 95K KM,Automatic,"Kuala Lumpur, Setapak"
2018/2019 BMW X5 2.0 xDrive40e M Sport SUV - Year Reg 2019 Malaysia Ser Record EXTENTION HYBRID BATTERY till 2027 by n 3 yrs car WARRANTY White Premium Edition,"RM 1,283 / month","RM 99,000",BMW X5,70 - 75K KM,Automatic,"Selangor, Petaling Jaya"
2017 Toyota Corolla Altis 2.0 V Sedan,RM 685 / month,"RM 52,800",Toyota Corolla Altis,75 - 80K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2018 Lexus IS 300 2.0 Premium Sedan,"RM 1,932 / month","RM 149,000",Lexus IS 300,55 - 60K KM,Automatic,"Selangor, Petaling Jaya"
2017 Volvo XC90 2.0 T8 Twin Engine SUV - T8 POLESTAR Twin Engine Full Service Record Ori White Paint Superb Condition,"RM 1,080 / month","RM 83,333",Volvo XC90,90 - 95K KM,Automatic,"Selangor, Cheras"
2009 Toyota Vellfire 2.4 Z MPV - HIGH SPEC MASIH BOLEH LOAN 4 TAHUN,RM 607 / month,"RM 46,800",Toyota Vellfire,160 - 165K KM,Automatic,"Kuala Lumpur, Kepong"
2018 Isuzu D-Max 2.5 Premium (with 6 Airbags) Pickup - (A) PREMIUM 4JK TD VGS TURBO INTERCOOLER 4X4 PICK-UP TRUCK,RM 762 / month,"RM 58,800",Isuzu D-Max,105 - 110K KM,Automatic,"Selangor, Kajang"
2020 Subaru XV 2.0 GT Edition SUV - 5-Years Warranty,RM 801 / month,"RM 61,800",Subaru XV,85 - 90K KM,Automatic,"Perak, Ipoh"
2024 Volvo XC40 Recharge P8 Ultimate Pure Electric SUV - 0.0,"RM 2,139 / month","RM 165,000",Volvo XC40,20 - 25K KM,Automatic,"Selangor, Subang Jaya"
2010 Honda Civic 2.0 Type R Sedan - IMPORT BARU,"RM 1,413 / month","RM 109,000",Honda Civic,80 - 85K KM,Manual,"Selangor, Petaling Jaya"
2022 Perodua Ativa 1.0 H SUV - UNDER WARRANTY UNTIL 04 2027,RM 620 / month,"RM 47,800",Perodua Ativa,65 - 70K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2024 Proton X50 1.5 Premium SUV - Full Service Record 22K Warranty till 2029 360 Camera Full Leather Seat Power Seat Apps Keystart Apps Start,RM 879 / month,"RM 67,800",Proton X50,20 - 25K KM,Automatic,"Selangor, Seri Kembangan"
2017 Perodua AXIA 1.0 Advance Hatchback,RM 355 / month,"RM 27,400",Perodua AXIA,125 - 130K KM,Automatic,"Terengganu, Kuala Terengganu"
2025 MINI Countryman 2.0 John Cooper Works ALL4 Panoramic Sunroof SUV,"RM 4,512 / month","RM 348,000",MINI Countryman,10 - 15K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2019 Perodua Bezza 1.3 X Premium Sedan,RM 438 / month,"RM 33,800",Perodua Bezza,60 - 65K KM,Automatic,"Johor, Johor Bahru"
2018 Honda BR-V 1.5 V SUV,RM 589 / month,"RM 45,400",Honda BR-V,55 - 60K KM,Automatic,"Kedah, Alor Setar"
2018 Honda Accord 2.0 VTi-L Sedan,RM 710 / month,"RM 54,800",Honda Accord,85 - 90K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2017 Toyota Innova 2.0 G MPV - (HOT DEAL),RM 887 / month,"RM 68,400",Toyota Innova,110 - 115K KM,Automatic,"Perak, Ipoh"
"2022 BMW X4 2.0 xDrive30i M Sport SUV - XDRIVE M Sport FULL SERVICE RECORD BY MALAYSIA , ORIGINAL MILLAGE , NO ACCIDENT , 1HAND LADY OWNER TILL NOW",Special offer - call now!,4 days 21 hours,BMW X4,25 - 30K KM,Automatic,"Kuala Lumpur, Cheras"
2024 Toyota Land Cruiser 3.3 J300 ZX SUV,"RM 5,678 / month","RM 438,000",Toyota Land Cruiser,40 - 45K KM,Automatic,"Negeri Sembilan, Seremban"
2014 Mercedes-Benz C200 2.0 AMG Line Sedan,RM 710 / month,"RM 54,800",Mercedes-Benz C200,85 - 90K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2015 Mercedes-Benz S400 3.5 Hybrid Sedan,"RM 1,063 / month","RM 82,000",Mercedes-Benz S400,70 - 75K KM,Automatic,"Selangor, Balakong"
2014 Honda Odyssey 2.4 EXV MPV - FULL SERVICE RECORD LOCAL SPEC 3 YEAR WARRANTY,RM 840 / month,"RM 64,800",Honda Odyssey,105 - 110K KM,Automatic,"Selangor, Seri Kembangan"
2011/2015 Toyota Vellfire 2.4 Z MPV,RM 723 / month,"RM 55,800",Toyota Vellfire,90 - 95K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2021 Perodua Myvi 1.5 AV Hatchback - ADVANCE FULL SERVICE 54K KM WARRANTY TILL 2026 PRE COLLISION KEYLESS ENTRT BUILT IN SMART TAG,RM 502 / month,"RM 38,700",Perodua Myvi,50 - 55K KM,Automatic,"Selangor, Seri Kembangan"
2021 BMW 530e 2.0 M Sport Sedan - G30 LCI FACELIFT FULL SERVICE 4xK KM WARRANTY FREE SERVICE TILL 2026 HYBRID WARRANTY TILL 2027 PARK ASSIST PACKAGE,"RM 1,812 / month","RM 139,800",BMW 530e,50 - 55K KM,Automatic,"Selangor, Seri Kembangan"
2020 BMW 330i 2.0 M Sport Driving Assist Pack Sedan - CHRISTMAS SALE -- LOW MILEAGE -- - FULL SERVICE 6xK km - M SPORT - CALIPER - G20 B48,"RM 1,812 / month","RM 139,800",BMW 330i,60 - 65K KM,Automatic,"Selangor, Seri Kembangan"
2017 Toyota Vellfire 2.5 ZG MPV,"RM 1,631 / month","RM 125,800",Toyota Vellfire,75 - 80K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2020 Perodua Myvi 1.3 X Hatchback - (A) Full Service Mileage 59K only Pre-crash Adjustable Foldable Side Mirrow 1 Lady Owner Extended Warranty,RM 425 / month,"RM 32,800",Perodua Myvi,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2016 Mercedes-Benz E200 2.0 AMG Sedan - BUMPER SPORT RIM STREERING 2 ELECTRONIC SEAT 2 MEMORY SEAT TAMAN EQUINE AREA,"RM 1,165 / month","RM 89,900",Mercedes-Benz E200,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2017 Mercedes-Benz GLA250 2.0 4MATIC AMG Line SUV - 4MATIC AMG FACELIFT Power Boot Alcantara Seat Dual Memory Power Seat Paddle Shift 4MATIC AMG Steering SPORT Mode,RM 970 / month,"RM 74,800",Mercedes-Benz GLA250,115 - 120K KM,Automatic,"Selangor, Seri Kembangan"
2020 Toyota Camry 2.5 V Sedan - F Service 1Owner Like New,"RM 1,488 / month","RM 114,800",Toyota Camry,75 - 80K KM,Automatic,"Perak, Sitiawan"
2020 Nissan Almera 1.5 E Sedan - Low Mileage 52K KM New facelift streering Daylight,RM 385 / month,"RM 29,700",Nissan Almera,50 - 55K KM,Automatic,"Selangor, Seri Kembangan"
2010 Toyota Camry 2.0 G Sedan,RM 309 / month,"RM 23,800",Toyota Camry,100 - 105K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2021 Honda HR-V 1.8 V SUV - FACELIFT ENHANCED (A) F.S.R By WARRANTY BY LANE WATCH REVERSE CAMERA ONE OWNER,RM 878 / month,"RM 67,700",Honda HR-V,70 - 75K KM,Automatic,"Selangor, Seri Kembangan"
2018 Perodua Myvi 1.5 AV Hatchback - ANDROID PLAYER SPORT RIM TWIN EXHAUST ORIGINAL CONDITION DECEMBER SALE SPECIAL OFFER,RM 438 / month,"RM 33,800",Perodua Myvi,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2018 Mercedes-Benz GLA250 2.0 4MATIC AMG Line SUV - Power Boot Reverse camera,"RM 1,075 / month","RM 82,888",Mercedes-Benz GLA250,80 - 85K KM,Automatic,"Selangor, Cheras"
2020 BMW X1 1.5 sDrive18i SUV - F48 SPORT LCI FACELIFT (A) FULL SERVICE RECORD LCI DAYLIGHTS POWER BOOT REVERSE CAMERA TURBO,RM 944 / month,"RM 72,800",BMW X1,85 - 90K KM,Automatic,"Selangor, Seri Kembangan"
"2019 BMW X3 2.0 xDrive30i Luxury SUV - G01 (A) DIGITAL METER, POWER BOOT, REVERSE CAMERA, MEMORY SEAT, ONE OWNER,","RM 1,138 / month","RM 87,800",BMW X3,50 - 55K KM,Automatic,"Selangor, Seri Kembangan"
2014 Honda Accord 2.4 VTi-L Sedan - (A) ONE OWNER LANE WATCH REVERSE CAMERA FULL LEATHER SEAT PADDLE SHIFT,RM 438 / month,"RM 33,800",Honda Accord,130 - 135K KM,Automatic,"Selangor, Seri Kembangan"
2016/2019 Mercedes-Benz A180 1.6 AMG Hatchback - MERCEDES BENZ FACELIFT TURBO (W176) ONE LADY OWNER MEMORY SEAT REVERSE CAMERA ALCANTARA SEAT Register 2019,RM 853 / month,"RM 65,800",Mercedes-Benz A180,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2021 Proton X70 1.8 Executive SUV - FSR 360 CAMERA POWER BOOT FULL LEATHER SEAT POWER SEAT,RM 631 / month,"RM 48,700",Proton X70,90 - 95K KM,Automatic,"Selangor, Seri Kembangan"
2024 Kia Carnival 2.2 11 Seater MPV - UNDER WARRANTY UNTIL JUNE 2030,"RM 2,059 / month","RM 158,800",Kia Carnival,0 - 5K KM,Automatic,"Kuala Lumpur, Batu Caves / Selayang"
2015 Mazda 6 2.0 SKYACTIV-G Sedan - (A) E-BRAKE NICE PLATE NUMBER 5656,RM 490 / month,"RM 37,800",Mazda 6,120 - 125K KM,Automatic,"Selangor, Puchong"
2020 Perodua Myvi 1.5 AV Hatchback - (A) 2-Years Warranty,RM 503 / month,"RM 38,800",Perodua Myvi,55 - 60K KM,Automatic,"Perak, Sitiawan"
2014 Mercedes-Benz A180 1.6 AMG Hatchback - 45 kit loan kedai,RM 646 / month,"RM 49,800",Mercedes-Benz A180,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
2019 Perodua Myvi 1.5 AV Hatchback - loan kedai,RM 425 / month,"RM 32,800",Perodua Myvi,65 - 70K KM,Automatic,"Selangor, Seri Kembangan"
2013 Perodua Alza 1.5 EZi MPV - AUTO,RM 309 / month,"RM 23,800",Perodua Alza,130 - 135K KM,Automatic,"Johor, Johor Bahru"
2015 Mercedes-Benz S400L h 3.5 Sedan - ChauffeurSpec Long Wheelbase Nautical Blue Metallic Black Leather Genuine 47k KM Done Accident Free Prestige certified,"RM 1,126 / month","RM 86,868",Mercedes-Benz S400L h,45 - 50K KM,Automatic,"Kuala Lumpur, Chan Sow Lin"
2024 Suzuki Jimny 1.5 ALLGRIP PRO Black Edition SUV - JB74 FULL SERVICE 17K UNDER WARRANTY ORI CARBON FIBER LOCAL UNIT SINGLE CAREFUL OWNER,"RM 1,761 / month","RM 135,800",Suzuki Jimny,15 - 20K KM,Automatic,"Selangor, Seri Kembangan"
2020 Perodua Myvi 1.5 H Hatchback - D20H SMART TAG SPORT SPRING SINGLE CAREFUL LADY OWNER,RM 450 / month,"RM 34,700",Perodua Myvi,95 - 100K KM,Automatic,"Selangor, Seri Kembangan"
2008 Honda Accord 2.0 VTi Sedan - NEW FACELIFT,RM 244 / month,"RM 18,800",Honda Accord,240 - 245K KM,Automatic,"Johor, Johor Bahru"
2018/2021 MINI Clubman 2.0 John Cooper Works Wagon - JCW F54 LOW MILEAGE PANORAMIC HARMAN KARDON HUD FULL SPEC SINGLE CAREFUL OWNER,"RM 1,670 / month","RM 128,800",MINI Clubman,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
"2019 Nissan Almera 1.5 E Black Series Sedan - AUTO FACELIFT , ANDROID PLAYER , TOMEI BODYKIT , BOLEH LOAN 9 TAHUN , NO MAJOR ACCIDENT NO FLOOD NOT GRAB",RM 360 / month,"RM 27,800",Nissan Almera,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2021 Honda City 1.5 E Sedan - LOW MILLEAGE 40KKM LADY OWNER,RM 720 / month,"RM 55,500",Honda City,45 - 50K KM,Automatic,"Selangor, Seri Kembangan"
2018 BMW 330e 2.0 M Sport Sedan - LCI FACELIFT FULL SERVICE RECORD STEERING SUNROOF FULL CAR LEATHER SEAT BLACK INTERIOR,RM 581 / month,"RM 44,800",BMW 330e,90 - 95K KM,Automatic,"Selangor, Kajang"
2018 Mercedes-Benz GLC250 2.0 4MATIC AMG Line SUV - F S RECORD C C 80K KM,"RM 1,294 / month","RM 99,800",Mercedes-Benz GLC250,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
2021 Toyota Vios 1.5 G Sedan - FACELIFT FULL SERVICE RECORD 360 CAMERA PADDLE SHIFT LKA PRE-CRASH LOW INTEREST 2 DAY DELIVERED,RM 722 / month,"RM 55,700",Toyota Vios,70 - 75K KM,Automatic,"Selangor, Seri Kembangan"
2020 BMW X3 2.0 xDrive30i M Sport SUV - FULL SERVICE 60K KM 1 OWNER,"RM 1,605 / month","RM 123,800",BMW X3,65 - 70K KM,Automatic,"Selangor, Seri Kembangan"
2023 Honda Accord 1.5 TC Sedan - UNDER WARRANTY,"RM 1,592 / month","RM 122,800",Honda Accord,75 - 80K KM,Automatic,"Selangor, Petaling Jaya"
2024 Perodua AXIA 1.0 SE Hatchback - (a) ON THE ROAD FULL RVICE RECORD 2XK UNDER WARRANTY 2029 NEW CAR INTEREST PRE-OWN UNIT,RM 504 / month,"RM 38,900",Perodua AXIA,20 - 25K KM,Automatic,"Kuala Lumpur, Sungai Besi"
2019 Mazda Roadster 2.0 RF Convertible,"RM 2,072 / month","RM 159,800",Mazda Roadster,40 - 45K KM,Automatic,"Selangor, Petaling Jaya"
2019 Daihatsu Tanto 0.7 Custom RS Micro car - Custom 2 POWER DOOR 360 CAMERA 1 OWNER,RM 866 / month,"RM 66,800",Daihatsu Tanto,25 - 30K KM,Automatic,"Selangor, Seri Kembangan"
2022 Honda HR-V 1.5 V SUV - HRV FULL SERVICE RECORD UNDER WARRANTY FULL BODY KIT SENSING WIRELESS CHARGER SINGLE LADY CAREFUL OWNER,"RM 1,229 / month","RM 94,800",Honda HR-V,50 - 55K KM,Automatic,"Selangor, Seri Kembangan"
"2022 Perodua Ativa 1.0 AV SUV - (A) FULL SERVICE , MILEAGE ONLY 50,000KM , WARRANTY END 2027 , HIGH L0AN , DOOR TO DOOR SERVICE",RM 647 / month,"RM 49,868",Perodua Ativa,45 - 50K KM,Automatic,"Kuala Lumpur, Sentul"
2023 Mazda 3 2.0 SKYACTIV-G High Plus Hatchback - LIFTBACK FULL SERVICE UNDER WARRANTY SUNROOF MEMORY SEAT DRIVER ASSIST HUD SINGLE CAREFUL OWNER,"RM 1,709 / month","RM 131,800",Mazda 3,55 - 60K KM,Automatic,"Selangor, Seri Kembangan"
2023 Mercedes-Benz GLE450 3.0 4MATIC AMG Line SUV - V167 FULL SERVICE RECORD 9K UNDER WARRANTY UNTIL 2027 PANORAMIC BURMESTER SINGLE VVIP OWNER,"RM 4,665 / month","RM 359,800",Mercedes-Benz GLE450,5 - 10K KM,Automatic,"Selangor, Seri Kembangan"
2018 Honda Civic 1.8 S Sedan - Auto New Facelift,RM 827 / month,"RM 63,800",Honda Civic,90 - 95K KM,Automatic,"Johor, Johor Bahru"
2022 Nissan Almera 1.0 VL Sedan - FULL SERVICE RECORD 6XK T FACELIFT FULL BODYKIT 2 TONE INTERIOR TURBO MODEL,RM 657 / month,"RM 50,700",Nissan Almera,60 - 65K KM,Automatic,"Kuala Lumpur, Sungai Besi"
2015 Mercedes-Benz C180 1.6 AMG Sports Package Sedan - AMG W205 JAPAN Spec Pre Safe Burmester Keyless (1 Owner),RM 892 / month,"RM 68,800",Mercedes-Benz C180,80 - 85K KM,Automatic,"Selangor, Seri Kembangan"
2023 Perodua Bezza 1.0 G Sedan - AUTO D24L FACELIFT FULL SERVICE RECORD UNDER WARRANTY ON THE ROAD PRICE SINGLE LADY OWNER,RM 425 / month,"RM 32,800",Perodua Bezza,40 - 45K KM,Automatic,"Selangor, Seri Kembangan"
2021 Honda Civic 1.8 S Sedan - (A) 1Owner Macam Baru,RM 996 / month,"RM 76,800",Honda Civic,75 - 80K KM,Automatic,"Perak, Sitiawan"
