Description,List_Price,Model,Mileage,Gear_Type,Location,Price,Year,State,Brand,Origin,Engine_L,Car_Age,Log_Price,Annual_Mileage,Has_Warranty
2021 Toyota Hilux 2.4 E Dual Cab Pickup - UNDER WARRANTY UNTIL 03 2026,"RM 75,800",Toyota Hilux,117500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",75800.0,2021.0,Kuala Lumpur,Toyota,Asian,2.4,4.0,11.235866764155578,29375.0,1
2019 Toyota Vios 1.5 G Sedan - (A) FACELIFT NSP151 FULL SPEC FULL BODYKIT 360 3D R CAMERA DASH CAM FULL LEATHER PUSHSTART KEY LES,"RM 46,800",Toyota Vios,57500.0,Automatic,"Selangor, Seri Kembangan",46800.0,2019.0,Selangor,Toyota,Asian,1.5,6.0,10.753659849198824,9583.333333333334,0
2013 Nissan Almera 1.5 E Sedan - impul,"RM 17,790",Nissan Almera,157500.0,Automatic,"Selangor, Banting",17790.0,2013.0,Selangor,Nissan,Asian,1.5,12.0,9.786447990434775,13125.0,0
2017 Perodua Myvi 1.5 AV Hatchback - Adv,"RM 32,800",Perodua Myvi,92500.0,Automatic,"Kuala Lumpur, Setapak",32800.0,2017.0,Kuala Lumpur,Perodua,Asian,1.5,8.0,10.39821428171237,11562.5,0
2018/2019 BMW X5 2.0 xDrive40e M Sport SUV - Year Reg 2019 Malaysia Ser Record EXTENTION HYBRID BATTERY till 2027 by n 3 yrs car WARRANTY White Premium Edition,"RM 99,000",BMW X5,72500.0,Automatic,"Selangor, Petaling Jaya",99000.0,2018.0,Selangor,BMW,Continental,2.0,7.0,11.502885230075814,10357.142857142857,1
2017 Toyota Corolla Altis 2.0 V Sedan,"RM 52,800",Toyota Corolla Altis,77500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",52800.0,2017.0,Kuala Lumpur,Toyota,Asian,2.0,8.0,10.874285408908944,9687.5,0
2018 Lexus IS 300 2.0 Premium Sedan,"RM 149,000",Lexus IS 300,57500.0,Automatic,"Selangor, Petaling Jaya",149000.0,2018.0,Selangor,Lexus,Asian,2.0,7.0,11.91170829631447,8214.285714285714,0
2017 Volvo XC90 2.0 T8 Twin Engine SUV - T8 POLESTAR Twin Engine Full Service Record Ori White Paint Superb Condition,"RM 83,333",Volvo XC90,92500.0,Automatic,"Selangor, Cheras",83333.0,2017.0,Selangor,Volvo,Continental,2.0,8.0,11.330611908144274,11562.5,0
2009 Toyota Vellfire 2.4 Z MPV - HIGH SPEC MASIH BOLEH LOAN 4 TAHUN,"RM 46,800",Toyota Vellfire,162500.0,Automatic,"Kuala Lumpur, Kepong",46800.0,2009.0,Kuala Lumpur,Toyota,Asian,2.4,16.0,10.753659849198824,10156.25,0
2018 Isuzu D-Max 2.5 Premium (with 6 Airbags) Pickup - (A) PREMIUM 4JK TD VGS TURBO INTERCOOLER 4X4 PICK-UP TRUCK,"RM 58,800",Isuzu D-Max,107500.0,Automatic,"Selangor, Kajang",58800.0,2018.0,Selangor,Isuzu,Asian,2.5,7.0,10.981914140544825,15357.142857142857,0
2020 Subaru XV 2.0 GT Edition SUV - 5-Years Warranty,"RM 61,800",Subaru XV,87500.0,Automatic,"Perak, Ipoh",61800.0,2020.0,Perak,Subaru,Asian,2.0,5.0,11.031674824544641,17500.0,1
2024 Volvo XC40 Recharge P8 Ultimate Pure Electric SUV - 0.0,"RM 165,000",Volvo XC40,22500.0,Automatic,"Selangor, Subang Jaya",165000.0,2024.0,Selangor,Volvo,Continental,0.0,1.0,12.013706813470414,22500.0,0
2010 Honda Civic 2.0 Type R Sedan - IMPORT BARU,"RM 109,000",Honda Civic,82500.0,Manual,"Selangor, Petaling Jaya",109000.0,2010.0,Selangor,Honda,Asian,2.0,15.0,11.599112335481124,5500.0,0
2022 Perodua Ativa 1.0 H SUV - UNDER WARRANTY UNTIL 04 2027,"RM 47,800",Perodua Ativa,67500.0,Automatic,"Kuala Lumpur, Batu Caves / Selayang",47800.0,2022.0,Kuala Lumpur,Perodua,Asian,1.0,3.0,10.774801838762809,22500.0,1
2024 Proton X50 1.5 Premium SUV - Full Service Record 22K Warranty till 2029 360 Camera Full Leather Seat Power Seat Apps Keystart Apps Start,"RM 67,800",Proton X50,22500.0,Automatic,"Selangor, Seri Kembangan",67800.0,2024.0,Selangor,Proton,Asian,1.5,1.0,11.124332223082254,22500.0,1
2017 Perodua AXIA 1.0 Advance Hatchback,"RM 27,400",Perodua AXIA,127500.0,Automatic,"Terengganu, Kuala Terengganu",27400.0,2017.0,Terengganu,Perodua,Asian,1.0,8.0,10.21833478806055,15937.5,0
